english,urdu
"Therefore, the petitioner is only entitled to depreciation allowance at the general rate of 5% instead of 10% as claimed by it.",لہذا، درخواست گزار 10% کی بجائے صرف 5% کی عمومی شرح پر فرسودگی الاؤنس کا حقدار ہے جیسا کہ اس نے دعوی کیا ہے۔
"As regards the Indian judgments relied upon by the learned counsel for the petitioner, these judgments are from a foreign jurisdiction and may be relevant in understanding a nd resolving the issues before u s but they have no binding effect upon the Courts in Pakistan .",جہاں تک درخواست گزار کے ماہر وکیل کے ذریعہ ہندوستانی فیصلوں پر انحصار کیا گیا ہے، یہ فیصلے غیر ملکی دائرہ اختیار سے ہیں اور یہ آپ کے سامنے مسائل کو سمجھنے اور حل کرنے میں متعلقہ ہو سکتے ہیں لیکن ان کا پاکستان کی عدالتوں پر کوئی پابند اثر نہیں ہے۔
"We are of the opinion that they are also distinguishable from the instant case as the provisions of law analysed therein are not pari materia to the law of our country being examined in this case, besides the facts of those cases are entirely different as they pertain to the question of whether a nursing home fell within the purview of “plant” and not a “factory” or “workshop”.","ہماری رائے ہے کہ وہ فوری کیس سے الگ بھی ہیں کیونکہ اس میں جو قانون کی دفعات کا تجزیہ کیا گیا ہے وہ اس معاملے میں ہمارے ملک کے قانون کے مطابق نہیں ہے، اس کے علاوہ ان مقدمات کے حقائق بالکل مختلف ہیں کیونکہ وہ اس سوال سے متعلق ہیں کہ آیا نرسنگ ہوم ""پلانٹ"" کے دائرہ کار میں آتا ہے نہ کہ ""فاک"" کے۔"
"In the light of the above, we opine that the view set out by the learned High Court is correct being based upon proper appreciation of the law.",مندرجہ بالا کی روشنی میں، ہم سمجھتے ہیں کہ عالم ہائی کورٹ کی طرف سے پیش کردہ نقطہ نظر قانون کی مناسب تعریف پر مبنی ہے.
No case for interference has been m ade out.,مداخلت کا کوئی کیس سامنے نہیں آیا۔
"CHIEF JUSTICE JUDGE JUDGE Islamabad, the 2nd February , 201 7 Approved For Reporting Waqas Naseer /* SUPREME COURT OF PAKISTAN (Appellate Jurisdiction) Larger Bench - III: Mr. Justice Syed Mansoor Ali Shah Mr. Justice Jamal Khan Mandokhail Mr. Justice Muhammad Ali Mazhar Mr. Justice Athar Minallah C.P.2646 -L/2018 , C.A.17 -L/2019 and C.A.364 -L/2020 (Against (i) judgment dated 20.11.2018 passed in E.F.A.","چیف جسٹس جج جسٹس اسلام آباد، 2 فروری 201 7 رپورٹنگ کے لیے منظور شدہ وقاص نصیر /* سپریم کورٹ آف پاکستان (اپیلٹ کا دائرہ اختیار) لارجر بینچ - III: مسٹر جسٹس سید منصور علی شاہ مسٹر جسٹس جمال خان منڈو، مسٹر جسٹس جمال خان منڈو۔ C.P.2646 -L/2018 , C.A.17 -L/2019 اور C.A.364 -L/2020 (کے خلاف (i) فیصلہ مورخہ 20.11.2018 E.F.A میں منظور ہوا"
"No.620/2011 , (ii) judgment dated 20.11.2018 passed in E.F.A.",نمبر 620/2011، (ii) فیصلہ مورخہ 20.11.2018 E.F.A میں منظور ہوا
"No.17/2012, and (iii) judgment dated 03.02.2020 passed in E.F.A No.231782/2018 respectively by the Lahore High Court, Lahore) Mst.",نمبر 17/2012، اور (iii) فیصلہ مورخہ 03.02.2020 E.F.A نمبر 231782/2018 میں بالترتیب لاہور ہائی کورٹ، لاہور نے منظور کیا۔
"(In C.P.2646 -L/2018 & C.A.17 -L/2019 ) Khalid Mujeeb Pervaiz Khan, etc .",(C.P.2646 -L/2018 اور C.A.17 -L/2019 میں) خالد مجیب پرویز خان، وغیرہ۔
"364 -L/2020 ) ... Appellant s/Petitioners Versus MCB Bank Ltd., etc.",364 -L/2020) ... اپیل کنندہ/درخواست گزار بمقابلہ ایم سی بی بینک لمیٹڈ، وغیرہ۔
"17 -L/2019) The Bank of Punjab, etc.",17 -L/2019) دی بینک آف پنجاب، وغیرہ۔
"364 -L/2020) … Respondents For the appellant s/petitioners: Mr. Muhammad Imran Malik, ASC.",364 -L/2020) … اپیل کنندگان/درخواست گزاروں کے جواب دہندگان: جناب محمد عمران ملک، ASC۔
"(Through video link from Lahore) Mr. Shahid Ikram Siddiqui, ASC.",(لاہور سے ویڈیو لنک کے ذریعے) جناب شاہد اکرام صدیقی، اے ایس سی۔
"For the respondents: Mr. Umar Farooq, ASC.",جواب دہندگان کے لیے: جناب عمر فاروق، ASC۔
"(Through video link from Lahore) Mr. Ashar Elahi, ASC.",(لاہور سے ویڈیو لنک کے ذریعے) جناب اشعر الٰہی، اے ایس سی۔
"Mr. Hafeez Saeed Akhtar, ASC.",جناب حفیظ سعید اختر، اے ایس سی۔
"Mr. Muhammad Akram Gondal , ASC.",جناب محمد اکرم گوندل، اے ایس سی۔
"Mr. Muhammad Ilyas Sheikh, ASC.",جناب محمد الیاس شیخ، اے ایس سی۔
"Mrs. Kausar Iqbal Bhatti, AOR.",مسز کوثر اقبال بھٹی، اے او آر۔
"Mr. Muhammad D awood Khan, OG-II, SME Bank.",جناب محمد داؤد خان، OG-II، SME بینک۔
"Date of hearing: 7 March 2024 JUDGMENT Syed Mansoor Ali Shah, J .- While hearing these cases, a three -member Bench of this Court disagreed with the view earlier taken by another three -member Bench in Habib and Co mpany v. MCB (PLD 2020 SC 227) regarding the meaning and scope of the second proviso to Rule 90 of Order XXI of the Code of Civil Procedure, 1908 (""CPC"") .","سماعت کی تاریخ: 7 مارچ 2024 فیصلہ سید منصور علی شاہ، جے .- ان مقدمات کی سماعت کرتے ہوئے، اس عدالت کے تین رکنی بنچ نے پہلے ایک اور تین رکنی بنچ کے حبیب اینڈ کمپنی بمقابلہ ایم سی بی (PLD 2020 SC 227) میں Ruder XIX کے دوسرے یا XIX کے معنی اور XIX کے معنی کے بارے میں ایک اور تین رکنی بنچ کے نظریہ سے اختلاف کیا۔ دی کوڈ آف سول پروسیجر، 1908 (""CPC"")۔"
"Consequently, the matter of interpretation of the said proviso was referred for reconsideration by a larger Bench through an order dated 16 March 2021, reported as Samrana Nawaz v. MCB (PLD 2021 SC 581).",نتیجتاً، مذکورہ شرط کی تشریح کا معاملہ 16 مارچ 2021 کے ایک حکم نامے کے ذریعے ایک بڑے بنچ کے ذریعے نظر ثانی کے لیے بھیجا گیا، جس کی رپورٹ سمرانہ نواز بمقابلہ MCB (PLD 2021 SC 581) تھی۔
"The se cases have, therefore, been posted before this larger Bench for an authoritative pronouncem ent of the law on the meaning and scope of the second pr oviso to Rule 90 of Order XXI, CPC .",لہذا، ان مقدمات کو اس بڑے بنچ کے سامنے قانون کے ایک مستند اعلان کے لیے پوسٹ کیا گیا ہے جو آرڈر XXI، CPC کے قاعدہ نمبر 90 کے دوسرے pr oviso کے معنی اور دائرہ کار پر ہے۔
C.A.17-L of 20 19 etc .,C.A.17-L of 20 19 وغیرہ۔
"2 Divergent opinions on the meaning and scope of the second proviso to Rule 90 of Order XXI, CPC 2.",2 آرڈر XXI، CPC 2 کے قاعدہ 90 کی دوسری شرط کے معنی اور دائرہ کار پر مختلف آراء۔
"Since the essential question involved in the present cases is that of interpretation of the second proviso to Rule 90 of Order XXI , CPC, the provisions of the said Rule including the proviso under consideration (“second proviso”) are cited at the outset for the convenience of reading and reference: 90.","چونکہ موجودہ مقدمات میں شامل ضروری سوال آرڈر XXI، CPC کے قاعدہ 90 کے دوسرے ضابطے کی تشریح کا ہے، اس لیے مذکورہ قاعدے کی دفعات بشمول زیر غور پروویزو (""دوسرا پروویزو"") پڑھنے اور حوالہ کی سہولت کے لیے شروع میں حوالہ دیا گیا ہے: 90۔"
Application to set aside on ground of irregularity or fraud.,بے ضابطگی یا دھوکہ دہی کی بنیاد پر ایک طرف رکھنے کی درخواست۔
"- Where any immovable property has been sold in execution of a decree the decree -holder , or any person entitled to share in a rateable distribution of assets , or whose interests are affected by the sale , may apply to the Court to set aside the sale on the gr ound of a material irregularity or fraud in publishing or conducting it: Provided that no sale shall be set aside on the ground of irregularity or fraud unless upon the facts proved the Court is satisfied that the applicant has sustained substantial injury by reason of such irregularity or fraud; Provided further that no such application shall be entertained unless the applicant deposits such amount not exceeding t wenty per cent of the sum realis ed at the sale , or furnishes such security , as the Court may direct .",- جہاں کسی بھی غیر منقولہ جائیداد کو کسی حکم نامے پر عمل درآمد کرتے ہوئے فروخت کیا گیا ہے، حکم نامہ رکھنے والا، یا کوئی بھی شخص جو اثاثوں کی قابل شرح تقسیم میں حصہ لینے کا حقدار ہے، یا جس کے مفادات فروخت سے متاثر ہوتے ہیں، عدالت میں درخواست دے سکتا ہے کہ کسی مادی بے ضابطگی یا دھوکہ دہی کی بنیاد پر فروخت کو ایک طرف رکھ دیا جائے: اس بنیاد پر شائع یا فروخت کرنے میں دھوکہ دہی کا کوئی جواز نہیں ہے۔ بے ضابطگی یا دھوکہ دہی جب تک کہ حقائق پر ثابت نہ ہو کہ عدالت اس بات سے مطمئن ہے کہ درخواست گزار کو اس طرح کی بے ضابطگی یا دھوکہ دہی کی وجہ سے کافی چوٹ پہنچی ہے؛ مزید بشرطیکہ ایسی کسی درخواست پر غور نہیں کیا جائے گا جب تک کہ درخواست دہندہ ایسی رقم جمع نہ کرائے جو فروخت کے وقت وصول کی گئی رقم کے فی صد سے زیادہ نہ ہو، یا ایسی سیکیورٹی فراہم نہ کرے، جیسا کہ عدالت حکم دے سکتی ہے۔
"(Emphasis added) The two competing opinions on the meaning and scope of the second proviso are: first, that the dep osit of the amount, which is required under the proviso, is not to be made by the applicant along with the applicat ion but rather it is to b e made on the direction of the c ourt; and second, that such deposit of the amount is to be made by the applicant along with the application without waiting for any direction of the court in this regard, i.e., the application at the time of its filing in the court is to be accompanied by deposit of such amount.",(زور میں شامل کیا گیا) دوسرے پروویزو کے معنی اور دائرہ کار کے بارے میں دو مسابقتی آراء ہیں: پہلی یہ کہ رقم کا ڈیپ اوسٹ، جو کہ شرط کے تحت درکار ہے، درخواست دہندہ کو درخواست گزار کے ساتھ نہیں بنانا ہے بلکہ اسے سی اوورٹ کی ہدایت پر بنایا جانا ہے۔ اور دوسرا یہ کہ درخواست گزار کو اس سلسلے میں عدالت کے کسی حکم کا انتظار کیے بغیر درخواست کے ساتھ رقم کی اتنی رقم جمع کرانی ہوگی، یعنی عدالت میں درخواست دائر کرتے وقت اس رقم کے ساتھ جمع کرانا ہے۔
"We may mention here that prior to the decision of this Court in Habib , the first opinion was a considered and consistent opinion of the High Courts in the count ry.1 There was not even a single dissent.",ہم یہاں ذکر کر سکتے ہیں کہ حبیب میں اس عدالت کے فیصلے سے پہلے پہلی رائے شماری میں ہائی کورٹس کی ایک قابل غور اور مستقل رائے تھی۔
"However, b y enunciating the second opinion, Habib implied overruled all those decisions of the High Courts without referring to them and without discussing and weighing the reasons stated therein .",تاہم، دوسری رائے کو بیان کرتے ہوئے، حبیب نے ہائی کورٹس کے ان تمام فیصلوں کا حوالہ دیے بغیر اور ان میں بیان کردہ وجوہات پر بحث کیے بغیر ان تمام فیصلوں کو کالعدم قرار دیا۔
Some fundamental principles of statutory interpretation 4.,قانونی تشریح کے چند بنیادی اصول 4۔
"Before we delve into interpreting the second proviso , it would be advantageous to outline some fundamental principles of statutory interpretation that will guide our analysis.",اس سے پہلے کہ ہم دوسری شرط کی تشریح میں غور کریں، یہ فائدہ مند ہوگا کہ قانونی تشریح کے کچھ بنیادی اصولوں کا خاکہ پیش کیا جائے جو ہمارے تجزیہ کی رہنمائی کریں گے۔
We all know that the ultimate objective of interpretation is to ascertain and give effect to the legislative 1 Alhamdi Begum v. NBP PLD 1976 Kar.,ہم سب جانتے ہیں کہ تشریح کا حتمی مقصد قانون سازی 1 الحمدی بیگم بمقابلہ این بی پی پی ایل ڈی 1976 کار کا پتہ لگانا اور اس پر اثر ڈالنا ہے۔
723 (DB); Shafique Shah v. Irshad Begum 1981 CLC 369; Rukhsana v. Muhammad Ilyas 1993 CLC 1949; Ali Match Industries v. IDB 1999 MLD 2127 (DB); Niamat Ali v. Muhamma d Imran PLD 2003 Lah 42; Sultan Mahmood v. HBFC 2006 YLR 2776 and Khursheed v. Inam -Ur- Rehman PLD 2009 Lah 552 (DB).,723 (DB)؛ شفیق شاہ بمقابلہ ارشاد بیگم 1981 CLC 369; رخسانہ بمقابلہ محمد الیاس 1993 CLC 1949; علی میچ انڈسٹریز بمقابلہ IDB 1999 MLD 2127 (DB)؛ نعمت علی بمقابلہ محمد عمران پی ایل ڈی 2003 لاھ 42۔ سلطان محمود بمقابلہ HBFC 2006 YLR 2776 اور خورشید بمقابلہ انعام الرحمان PLD 2009 لاہ 552 (DB)۔
"3 intent, which constitute s the major step in the process of interpreting statutes and lies at the heart of the interpretative process.",3 ارادہ، جو قوانین کی تشریح کے عمل میں ایک اہم قدم ہے اور تشریحی عمل کے مرکز میں ہے۔
"The first source from which the legislative intent is to be sought is the words of the statute; then an examination is to be made of the context and purpose of the enactment.2 Therefore, in the process of interpreting a provision of law, the staring point is to read a nd understand the words used therein in their ordinary linguistic and grammatical meaning.",پہلا ذریعہ جس سے قانون سازی کا ارادہ تلاش کیا جانا ہے وہ آئین کے الفاظ ہیں۔ اس کے بعد قانون کے سیاق و سباق اور مقصد کا جائزہ لیا جانا ہے۔ 2 لہذا، قانون کی ایک شق کی تشریح کے عمل میں، نقطہ نظر یہ ہے کہ اس میں استعمال ہونے والے الفاظ کو ان کے عام لسانی اور گراماتی معنی میں پڑھنا اور سمجھنا ہے۔
"Generally, such meaning is to be ascribed to them, more so when it is consistent with the context and purpose of the provision in which they are used.",عام طور پر، اس طرح کے معنی ان کی طرف منسوب کیے جاتے ہیں، زیادہ اس صورت میں جب یہ اس رزق کے سیاق و سباق اور مقصد سے مطابقت رکھتا ہے جس میں وہ استعمال ہوتے ہیں۔
"However, where there is a potential conflict between the ordinary meaning of words and the purpose of the provision, courts may depart from the literal meaning to advance the purpose and give effect to the legislative intent .",تاہم، جہاں الفاظ کے عام معنی اور فراہمی کے مقصد کے درمیان ممکنہ تصادم ہو، عدالتیں مقصد کو آگے بڑھانے اور قانون سازی کے ارادے کو عملی جامہ پہنانے کے لیے لغوی معنی سے ہٹ سکتی ہیں۔
"Similarly, if the words are ambiguous and ca n reasonably bear more than one meaning, courts are to ascribe such meaning to them which will be consistent with the purpose of the provision.",اسی طرح، اگر الفاظ مبہم ہیں اور معقول طور پر ایک سے زیادہ معنی لے سکتے ہیں، تو عدالتوں کو ان کے لیے ایسے معنی بیان کرنا ہوں گے جو کہ فراہمی کے مقصد سے مطابقت رکھتے ہوں۔
"Or, if the words in their ordinary meaning lead to absurdity, courts may give them such meaning that will make t he provision reasonable and consistent with the context and purpose thereof .",یا، اگر ان کے عام معنی میں الفاظ مضحکہ خیزی کا باعث بنتے ہیں، تو عدالتیں انہیں ایسے معنی دے سکتی ہیں جو اسے معقول اور اس کے سیاق و سباق اور مقصد سے ہم آہنگ بنائے۔
"The interpretative process, thus, combines both literal and purposive approaches to ensure that the legislative intent is ascertained and given effect.",تشریحی عمل، اس طرح، لفظی اور مقصدی دونوں طریقوں کو یکجا کرتا ہے تاکہ اس بات کو یقینی بنایا جا سکے کہ قانون سازی کے ارادے کا پتہ لگایا جائے اور اسے اثر دیا جائے۔
"3 A literal interpretation of the second proviso to Rule 90 of Order XXI, CPC 5.",3 آرڈر XXI، CPC 5 کے قاعدہ 90 کی دوسری شرط کی لفظی تشریح۔
"Guided by the above principles , we start our analysis of the second proviso by reading and understand ing the words used therein in their ordinary linguistic and grammatical mean ing.",مندرجہ بالا اصولوں کی رہنمائی میں، ہم اس میں استعمال ہونے والے الفاظ کو ان کے عام لسانی اور گراماتی معنی میں پڑھ کر اور سمجھ کر دوسری شرط کا اپنا تجزیہ شروع کرتے ہیں۔
"The provisions of the second proviso are again cited her e for ease of reference: Provided further that no such application shall be entertained unless the applicant deposits such amount not exceeding twenty per cent of the sum realised at the sale, or furnishes such security, as the Court may direct .",دوسری شرط کی دفعات دوبارہ حوالہ کی آسانی کے لیے نقل کی جاتی ہیں: مزید یہ کہ ایسی کسی درخواست پر غور نہیں کیا جائے گا جب تک کہ درخواست دہندہ فروخت کے وقت وصول کی گئی رقم کے بیس فیصد سے زیادہ رقم جمع نہ کرائے، یا ایسی سیکیورٹی فراہم نہ کرے، جیسا کہ عدالت حکم دے سکتی ہے۔
"(Emphasis added) The keywords that need to be understood for determining the meaning and scope of the second proviso, as underlined, are „entertained‟ , „not exceeding twenty per cent ‟ and „as the Court may direct‟ .","(زور میں شامل کیا گیا) دوسری شرط کے معنی اور دائرہ کار کا تعین کرنے کے لیے جن کلیدی الفاظ کو سمجھنے کی ضرورت ہے، جیسا کہ انڈر لائن کیا گیا ہے، ""تفریحی""، ""بیس فیصد سے زیادہ نہیں"" اور ""جیسا کہ عدالت ہدایت دے"" ہیں۔"
"The word „entertain‟, according to its ordinary dictionary meaning, inter alia means „to give atte ntion or consideration ‟,4 „to take into consideration‟,5 „to receive and take into consideration‟6 or „to give 2 Crawford, The Construction of Statutes , (Pakistan Law House, 1998), p. 273.","لفظ ""تفریح""، اس کے عام لغت کے معنی کے مطابق، دوسری باتوں کے ساتھ ساتھ اس کا مطلب ہے ""توجہ دینا یا غور کرنا""، 4 ""غور کرنا""، 5 ""وصول کرنا اور غور کرنا"" 6 یا ""2 کرافورڈ، دی کنسٹرکشن آف سٹیٹوٹس، (پاکستان لاء ہاؤس)، صفحہ 98، 98."
3 Dilawar Hussain v. Province of Sindh PLD 2016 SC 514 (serval cases of our and foreign jurisdictions are referred to and discussed in it) 4 Concise Oxford English Dictionary (12th ed.),3 دلاور حسین بمقابلہ صوبہ سندھ PLD 2016 SC 514 (ہمارے اور غیر ملکی دائرہ اختیار کے سرویل کیسز کا حوالہ دیا گیا ہے اور اس میں بحث کی گئی ہے) 4 جامع آکسفورڈ انگلش ڈکشنری (12 ویں ایڈیشن)
p. 476 5 New Webster’s Dictionary (1986 Print) p. 327.,ص 476 5 نیو ویبسٹر کی ڈکشنری (1986 پرنٹ) صفحہ۔ 327.
"4 judicial consideration‟.7 In legal parlance, as observed by this Court in Abdul Khaliq ,8 the word „entertain‟ ordinarily means to „adjudicate upon‟ or „proceed to consider on merits‟ .9 In the context of its use in the second proviso, we find that the word ‟entertain‟ has been used in the same ordinary legal meaning, i.e., to proceed to consider and adjudicate upon merits.","4 عدالتی غور۔ 7 قانونی زبان میں، جیسا کہ اس عدالت نے عبدالخالق میں مشاہدہ کیا ہے، 8 لفظ ""تفریح"" کا عام طور پر مطلب ہے ""فیصلہ کرنا"" یا ""میرٹ پر غور کرنا""۔ یعنی قابلیت پر غور کرنے اور فیصلہ کرنے کے لیے آگے بڑھنا۔"
"It implies that the application to set aside the s ale on the ground of a material irregularity or fraud shall not be adjudi cated upon on its merits unless the applicant deposits such amount not exceeding twenty per cent of the sum realised at the sale, or f urnishes such security, as the c ourt may direct.",اس کا مطلب یہ ہے کہ مادی بے ضابطگی یا دھوکہ دہی کی بنیاد پر ایس ایل کو الگ کرنے کی درخواست کو اس کی خوبیوں پر فیصلہ نہیں کیا جائے گا جب تک کہ درخواست دہندہ فروخت پر وصول کی گئی رقم کے بیس فیصد سے زیادہ رقم جمع نہ کرائے، یا اس طرح کی سیکیورٹی فراہم نہ کرے، جیسا کہ عدالت نے ہدایت کی ہے۔
It does not imply merely filing of the application by the applicant or re ceiving of the application by the court.,اس کا مطلب صرف درخواست گزار کی طرف سے درخواست دائر کرنا یا عدالت کی طرف سے درخواست کو دوبارہ حاصل کرنا نہیں ہے۔
The next important words in understanding the meaning and scope of the second provision are „not exceeding twenty per cent‟ and „as the Court may direct‟ .,"دوسری شق کے معنی اور دائرہ کار کو سمجھنے کے لیے اگلے اہم الفاظ ""بیس فیصد سے زیادہ نہ ہوں"" اور ""جیسا کہ عدالت ہدایت دے"" ہیں۔"
Their significance is pivotal in discerning the implications of th e second pro viso.,ان کی اہمیت دوسرے پرو ویسو کے مضمرات کو سمجھنے میں اہم ہے۔
These words being plain expressions of English language do not require further assistance from English language dictionaries.,یہ الفاظ انگریزی زبان کے سادہ اظہار ہونے کی وجہ سے انگریزی لغت کی مزید مدد کی ضرورت نہیں ہے۔
They clearly convey their intended meanings and are self -explanatory.,وہ واضح طور پر اپنے مطلوبہ معنی بیان کرتے ہیں اور خود وضاحتی ہیں۔
"The words „not exceeding twenty per cent‟ prescribe the upper limit of the amount that the court may direct to be d eposited for entertaining the application, and the words „as the Court may direct‟ signify the court‟s discretion to fix any amount that does not exceed the upper lim it.","""بیس فیصد سے زیادہ نہ ہو"" کے الفاظ اس رقم کی اوپری حد کا تعین کرتے ہیں جسے عدالت درخواست پر غور کرنے کے لیے جمع کرنے کی ہدایت دے سکتی ہے، اور الفاظ ""جیسا کہ عدالت ہدایت دے"" عدالت کی صوابدید کی نشاندہی کرتے ہیں کہ وہ کسی بھی رقم کو طے کرنے کے لیے جو اوپری حد سے زیادہ نہ ہو۔"
"With this understanding of the keywords used therein, we find that the second proviso stipulates that upon filing the application to set aside the sale, the court will direct the applicant to deposit an amount not exceeding twenty per cent of t he sum realised at the sale or furnish security for that amount, and provide the applicant with an opportunity to fulfill this requirement.",اس میں استعمال ہونے والے کلیدی الفاظ کی اس تفہیم کے ساتھ، ہمیں معلوم ہوتا ہے کہ دوسری شرط یہ بتاتی ہے کہ فروخت کو ایک طرف رکھنے کے لیے درخواست دائر کرنے پر، عدالت درخواست دہندہ کو ہدایت کرے گی کہ وہ فروخت کے وقت وصول ہونے والی رقم کے بیس فیصد سے زیادہ جمع نہ کرے یا اس رقم کے لیے سیکیورٹی فراہم کرے، اور درخواست گزار کو اس ضرورت کو پورا کرنے کا موقع فراہم کرے۔
"Until the applicant deposits the amount or furnishes the security, the court cannot proceed to consider and adjudica te upon the merits of the application.",جب تک درخواست گزار رقم جمع نہیں کرواتا یا سیکیورٹی فراہم نہیں کرتا، عدالت درخواست کے میرٹ پر غور کرنے اور فیصلہ کرنے کے لیے آگے نہیں بڑھ سکتی۔
"Only when the applicant complies with this requirement within the allowed time, can the court proceed to consider the application on its merits.",صرف اس صورت میں جب درخواست دہندہ مقررہ وقت کے اندر اس تقاضے کی تعمیل کرتا ہے، عدالت درخواست پر اس کی خوبیوں پر غور کرنے کے لیے آگے بڑھ سکتی ہے۔
If the applicant fails to 6 Chambers English Dictionary (7th ed.),اگر درخواست دہندہ 6 چیمبرز انگلش ڈکشنری (7ویں ایڈیشن) میں ناکام رہتا ہے۔
7 Black’s Law Dictionary (10th ed.),7 بلیک کی لاء ڈکشنری (10 واں ایڈیشن)
8 Divisional Superintendent v. Abdul Khaliq 1984 SCMR 1311.,8 ڈویژنل سپرنٹنڈنٹ بمقابلہ عبدالخالق 1984 SCMR 1311۔
See also Bashir Ahmad v. Province of Punjab 1990 MLD 986 (DB); Pakistan Steel Peoples Workers' Union v. Registrar of Trade Unions 1992 PLC 715; Sindh Industrial Trading Estate v. Noorani Enterprises 1996 CLC 570 (DB) and Muhammad Fiaz v. Yaqoob Hussain PLD 2010 Lah 197; in these case the word ‘entertain’ used in different laws has been attributed the same meaning.,بشیر احمد بمقابلہ صوبہ پنجاب 1990 MLD 986 (DB) بھی دیکھیں۔ پاکستان اسٹیل پیپلز ورکرز یونین بمقابلہ رجسٹرار آف ٹریڈ یونینز 1992 PLC 715؛ سندھ انڈسٹریل ٹریڈنگ اسٹیٹ بمقابلہ نورانی انٹرپرائزز 1996 CLC 570 (DB) اور محمد فیاض بمقابلہ یعقوب حسین PLD 2010 لاہور 197; ان صورتوں میں مختلف قوانین میں استعمال ہونے والے لفظ ’تفریح‘ کو ایک ہی معنی سے منسوب کیا گیا ہے۔
"9 The same ordinary legal meaning of the word ‘entertain’ was noted by this Court in All Pakistan Newspapers Society v. Federation of Pakistan (PLD 2004 SC 600) although in view of the administrative nature of certain functions of the Registrar under the Supreme Court Rules 1980, the word ‘entertain’ as used in the rules under consideration and in the order of the Judge hearing appeal in chambers against the order of the Registrar returning the petition, was construed to mean ‘to receive’.",اس عدالت نے آل پاکستان نیوز پیپرز سوسائٹی بمقابلہ فیڈریشن آف پاکستان (PLD 2004 SC 600) میں لفظ 'تفریح' کا وہی عام قانونی مفہوم نوٹ کیا تھا، حالانکہ سپریم کورٹ رولز 1980 کے تحت رجسٹرار کے بعض کاموں کی انتظامی نوعیت کے پیش نظر، لفظ 'تفریح' کو عدالت کے حکم کے تحت زیر سماعت اپیل میں استعمال کیا جاتا ہے۔ درخواست کو واپس کرنے والے رجسٹرار کے حکم کے خلاف، اس کا مطلب 'وصول کرنا' سے لیا گیا۔
"5 do so, the court is to dismiss the application without proceeding to consider and adjudicat e upon its merits.",5 ایسا کریں، عدالت اس درخواست پر غور کیے بغیر اسے خارج کر دے گی اور اس کی خوبیوں پر فیصلہ سنائے گی۔
"The bar on entertaining the application thus arises from the failure of the applicant to ""deposit such amount not exceeding twenty per cent of the sum realized at the sale, or furnish such security, as the Court may direct”.","اس طرح درخواست پر غور کرنے پر پابندی درخواست دہندہ کی جانب سے ""اس طرح کی رقم فروخت کے وقت وصول کی گئی رقم کے بیس فیصد سے زیادہ جمع نہ کروانے، یا ایسی سیکیورٹی فراہم کرنے میں ناکامی سے پیدا ہوتی ہے، جیسا کہ عدالت ہدایت دے""۔"
I t becomes operative and effective only when the court first determines the amount to be deposited or the nature of security to be furnished against that amount by the applicant.,I t آپریٹو اور موثر صرف اس وقت ہوتا ہے جب عدالت پہلے اس رقم کا تعین کرتی ہے جو جمع کرائی جانی ہے یا درخواست دہندہ کی طرف سے اس رقم کے خلاف فراہم کی جانے والی سیکیورٹی کی نوعیت۔
"No applicant can anticipate what am ount or secu rity the court would direct him to deposit or furnish, as the case may be; nor can he be allowed to deposit the amount or f urnish the security as per his own choice at the time of filing the application.",کوئی بھی درخواست دہندہ یہ اندازہ نہیں لگا سکتا کہ عدالت اسے کیا رقم جمع کرنے یا پیش کرنے کی ہدایت کرے گی، جیسا کہ معاملہ ہو؛ اور نہ ہی اسے درخواست داخل کرنے کے وقت اپنی مرضی کے مطابق رقم جمع کرنے یا سیکیورٹی دینے کی اجازت دی جاسکتی ہے۔
The prior direction of the court to deposit a certain amount or furnish a specified security is a condition precedent ( sine qua non) for declining to entertain and dismissing the application under the second proviso .,عدالت کی جانب سے ایک مخصوص رقم جمع کرنے یا مخصوص سیکیورٹی فراہم کرنے کی پیشگی ہدایت دوسری شرط کے تحت درخواست کو مسترد کرنے اور مسترد کرنے کی شرط کی نظیر ہے۔
"We, therefore, approve the afore -referred opinion of the High Courts10 that the deposit of the amount, which is required under the proviso, is not to be made by the applicant along with the application but rather it is to be made on the d irection of the court, and agree with the same view expressed by the three -member Bench that earlier heard these cases in its order dated 16 March 2021 ( Samrana Nawaz v. MCB PLD 2021 SC 581) , thus : The expression “as the Court may direct” leaves little roo m to speculate whether the applicant is to deposit the 20% of the sale amount at the time of filing the objection petition or at a subsequent stage under direction of the court.","لہٰذا، ہم ہائی کورٹس کی مذکورہ بالا رائے کو منظور کرتے ہیں کہ رقم، جو کہ شرط کے تحت ضروری ہے، درخواست گزار کی طرف سے درخواست کے ساتھ جمع نہیں کرانی ہے، بلکہ یہ عدالت کے حکم پر کی جانی ہے، اور اسی نقطہ نظر سے اتفاق کرتے ہیں جو تین رکنی بنچ نے پیش کیا تھا جس نے اس سے قبل ان مقدمات کی سماعت 2 مارچ 2016 کو اپنے حکم نامے میں کی تھی۔ MCB PLD 2021 SC 581)، اس طرح: ""جیسا کہ عدالت ہدایت کر سکتی ہے"" کے اظہار سے یہ قیاس کرنے کی بہت کم گنجائش رہ جاتی ہے کہ آیا درخواست دہندہ کو فروخت کی رقم کا 20% اعتراض کی درخواست دائر کرنے کے وقت جمع کرنا ہے یا عدالت کی ہدایت کے تحت اس کے بعد کے مرحلے پر۔"
